anime_id,title,title_english,image_url,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,licensor,studio,genre,duration_min,aired_from_year,numberofviews
2734,Mazinkaiser: Shitou! Ankoku Dai Shogun,Mazinkaiser: Deathmatch! General Dark,https://myanimelist.cdn-dena.com/images/anime/5/51795.jpg,Manga,1,Finished Airing,f,"Jul 25, 2003","{'from': '2003-07-25', 'to': '2003-07-25'}",56 min.,R - 17+ (violence & profanity),7.29,1429,2465,6148,2774,6,,,"Bee Media, Dynamic Planning",,Brain&#039;s Base,"Action, Mecha",56,2003.0,119
7651,Ningen Shikkaku: Director&#039;s Cut-ban,,https://myanimelist.cdn-dena.com/images/anime/6/24794.jpg,Novel,1,Finished Airing,f,"Dec 12, 2009","{'from': '2009-12-12', 'to': '2009-12-12'}",1 hr. 29 min.,R - 17+ (violence & profanity),7.58,919,1412,4758,5351,28,,,,,Madhouse,"Drama, Historical, Psychological, Seinen",89,2009.0,86
34839,Sanrio Danshi,Sanrio Boys,https://myanimelist.cdn-dena.com/images/anime/13/89890.jpg,Original,12,Finished Airing,f,"Jan 6, 2018 to Mar 24, 2018","{'from': '2018-01-06', 'to': '2018-03-24'}",24 min. per ep.,PG-13 - Teens 13 or older,6.68,5338,4858,2553,21740,75,Winter 2018,Saturdays at 22:00 (JST),"Pony Canyon, Sanrio, Pierrot Plus",,Studio Pierrot,"Slice of Life, School",24,2018.0,245
32023,Bubuki Buranki,BBK/BRNK,https://myanimelist.cdn-dena.com/images/anime/7/79758.jpg,Original,12,Finished Airing,f,"Jan 9, 2016 to Mar 26, 2016","{'from': '2016-01-09', 'to': '2016-03-26'}",24 min. per ep.,PG-13 - Teens 13 or older,6.4,19194,5984,1406,56470,92,Winter 2016,Saturdays at 22:00 (JST),"Dentsu, AT-X, Ultra Super Pictures, Sony Music Communications, Bushiroad, Sammy, Kadokawa Media (Taiwan), Tose",,SANZIGEN,"Action, Sci-Fi, Drama, Mecha",24,2016.0,835
36775,Wo Shi Jiang Xiaobai,I&#039;m Joybo,https://myanimelist.cdn-dena.com/images/anime/10/88926.jpg,Original,12,Finished Airing,f,"Nov 9, 2017 to Jan 24, 2018","{'from': '2017-11-09', 'to': '2018-01-24'}",20 min. per ep.,PG-13 - Teens 13 or older,7.26,361,2595,6297,2606,4,,,,,2:10 Animation,"Slice of Life, Drama, Romance",20,2017.0,8
10834,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,,https://myanimelist.cdn-dena.com/images/anime/7/60855.jpg,Light novel,6,Finished Airing,f,"Sep 21, 2011 to Feb 22, 2012","{'from': '2011-09-21', 'to': '2012-02-22'}",5 min. per ep.,PG-13 - Teens 13 or older,7.36,9586,2173,2378,24679,28,,,,,Silver Link.,"Comedy, Romance, School, Super Power",5,2011.0,718
12991,Katte ni Kaizou Specials,,https://myanimelist.cdn-dena.com/images/anime/11/36477.jpg,Manga,3,Finished Airing,f,"May 25, 2011 to Oct 26, 2011","{'from': '2011-05-25', 'to': '2011-10-26'}",7 min. per ep.,R+ - Mild Nudity,6.66,423,4933,6761,2090,1,,,,,Shaft,"Comedy, Parody, School, Sci-Fi, Shounen",7,2011.0,52
448,Tenjou Tenge: The Ultimate Fight,Tenjho Tenge: The Ultimate Fight,https://myanimelist.cdn-dena.com/images/anime/11/7362.jpg,Manga,2,Finished Airing,f,"Mar 16, 2005","{'from': '2005-03-16', 'to': '2005-03-16'}",24 min. per ep.,R - 17+ (violence & profanity),7.15,18992,3016,2018,32423,37,,,,"Discotek Media, Geneon Entertainment USA",Madhouse,"Adventure, Drama, Martial Arts, Romance, Shounen, Supernatural",24,2005.0,2195
837,Kyou no 5 no 2,Today in Class 5-2,https://myanimelist.cdn-dena.com/images/anime/6/42631.jpg,Manga,4,Finished Airing,f,"Mar 24, 2006 to Mar 21, 2007","{'from': '2006-03-24', 'to': '2007-03-21'}",29 min. per ep.,PG-13 - Teens 13 or older,7.29,12399,2462,2391,24405,38,,,,,Shinkuukan,"Comedy, Ecchi, School, Seinen",29,2006.0,1502
4494,Enyoku,,https://myanimelist.cdn-dena.com/images/anime/5/25005.jpg,Manga,1,Finished Airing,f,"Apr 25, 2007","{'from': '2007-04-25', 'to': '2007-04-25'}",30 min.,Rx - Hentai,6.18,961,,6536,2327,7,,,Milky Animation Label,,Studio Jam,Hentai,30,2007.0,120
2325,Angel Blade Punish!,,https://myanimelist.cdn-dena.com/images/anime/5/3662.jpg,Original,3,Finished Airing,f,"Dec 29, 2004 to Sep 9, 2005","{'from': '2004-12-29', 'to': '2005-09-09'}",30 min. per ep.,Rx - Hentai,6.52,2133,,4986,4733,26,,,,,Asahi Production,"Adventure, Hentai, Magic, Sci-Fi",30,2004.0,248
3433,Go-Q-Choji Ikkiman,Battle Ball,https://myanimelist.cdn-dena.com/images/anime/9/63019.jpg,Manga,32,Finished Airing,f,"Apr 13, 1986 to Nov 23, 1986","{'from': '1986-04-13', 'to': '1986-11-23'}",24 min. per ep.,G - All Ages,6.6,116,5198,9901,403,5,Spring 1986,Unknown,,,Toei Animation,"Sci-Fi, Sports",24,1986.0,11
348,Binzume Yousei,Bottle Fairy,https://myanimelist.cdn-dena.com/images/anime/3/16917.jpg,Original,13,Finished Airing,f,"Oct 3, 2003 to Dec 26, 2003","{'from': '2003-10-03', 'to': '2003-12-26'}",13 min. per ep.,G - All Ages,6.52,6020,5505,3175,14156,46,Fall 2003,Unknown,"Hal Film Maker, Genco, Starchild Records",Geneon Entertainment USA,Xebec,"Comedy, Fantasy, Magic, Slice of Life",13,2003.0,627
2730,1+2=Paradise,,https://myanimelist.cdn-dena.com/images/anime/2/3679.jpg,Manga,2,Finished Airing,f,"Feb 23, 1990 to Apr 27, 1990","{'from': '1990-02-23', 'to': '1990-04-27'}",28 min. per ep.,R+ - Mild Nudity,5.14,2383,8900,4906,4904,21,,,Agent 21,,J.C.Staff,"Comedy, Ecchi, Harem, Romance, Seinen",28,1990.0,215
31754,Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,,https://myanimelist.cdn-dena.com/images/anime/8/76478.jpg,Manga,1,Finished Airing,f,"Dec 25, 2015","{'from': '2015-12-25', 'to': '2015-12-25'}",24 min.,PG-13 - Teens 13 or older,7.33,11532,2296,2552,21738,29,,,TBS,Sentai Filmworks,Brain&#039;s Base,"Action, Comedy, Shounen",24,2015.0,683
